t1,t2,rr
2,2,0.00310407304770704
2,3,0.00262177691563082
2,4,0.0209631986546777
2,5,0.546134809792614
3,2,0.00586814063965875
3,3,0.00553559233439511
3,4,1.35764945443285
3,5,0.0153462590561099
4,2,0.0209545644279836
4,3,1.43746367440664
4,4,0.0184613759853583
4,5,0.00462315496406292
5,2,1.2606668128344
5,3,0.0195362349613956
5,4,0.00419297003182386
5,5,0.00330259803716303
